"V1" "V2" "V3"
"134" 3 39 5.09902
"135" 3 40 5.385165
"136" 3 41 5.830952
"137" 3 42 6.403124
"138" 3 43 6.324555
"139" 3 44 6.082763
"140" 3 45 6
"141" 3 46 6.082763
"142" 3 47 6.324555
"143" 3 48 6.708204
"144" 3 49 7.211103
"145" 4 1 3
"146" 4 2 2
"147" 4 3 1
"148" 4 5 1
"149" 4 6 2
"150" 4 7 3
"151" 4 8 3.162278
"152" 4 9 2.236068
"153" 4 10 1.414214
"154" 4 11 1
"155" 4 12 1.414214
"156" 4 13 2.236068
"157" 4 14 3.162278
"158" 4 15 3.605551
"159" 4 16 2.828427
"160" 4 17 2.236068
"161" 4 18 2
"162" 4 19 2.236068
"163" 4 20 2.828427
"164" 4 21 3.605551
"165" 4 22 4.242641
"166" 4 23 3.605551
"167" 4 24 3.162278
"168" 4 25 3
"169" 4 26 3.162278
"170" 4 27 3.605551
"171" 4 28 4.242641
"172" 4 29 5
"173" 4 30 4.472136
"174" 4 31 4.123106
"175" 4 32 4
"176" 4 33 4.123106
"177" 4 34 4.472136
"178" 4 35 5
"179" 4 36 5.830952
"180" 4 37 5.385165
"181" 4 38 5.09902
"182" 4 39 5
"183" 4 40 5.09902
"184" 4 41 5.385165
"185" 4 42 5.830952
"186" 4 43 6.708204
"187" 4 44 6.324555
"188" 4 45 6.082763
"189" 4 46 6
"190" 4 47 6.082763
"191" 4 48 6.324555
"192" 4 49 6.708204
"193" 5 1 4
"194" 5 2 3
"195" 5 3 2
"196" 5 4 1
"197" 5 6 1
"198" 5 7 2
"199" 5 8 4.123106
"200" 5 9 3.162278
"201" 5 10 2.236068
"202" 5 11 1.414214
"203" 5 12 1
"204" 5 13 1.414214
"205" 5 14 2.236068
"206" 5 15 4.472136
"207" 5 16 3.605551
"208" 5 17 2.828427
"209" 5 18 2.236068
"210" 5 19 2
"211" 5 20 2.236068
"212" 5 21 2.828427
"213" 5 22 5
"214" 5 23 4.242641
"215" 5 24 3.605551
"216" 5 25 3.162278
"217" 5 26 3
"218" 5 27 3.162278
"219" 5 28 3.605551
"220" 5 29 5.656854
"221" 5 30 5
"222" 5 31 4.472136
"223" 5 32 4.123106
"224" 5 33 4
"225" 5 34 4.123106
"226" 5 35 4.472136
"227" 5 36 6.403124
"228" 5 37 5.830952
"229" 5 38 5.385165
"230" 5 39 5.09902
"231" 5 40 5
"232" 5 41 5.09902
"233" 5 42 5.385165
"234" 5 43 7.211103
"235" 5 44 6.708204
"236" 5 45 6.324555
"237" 5 46 6.082763
"238" 5 47 6
"239" 5 48 6.082763
"240" 5 49 6.324555
"241" 6 1 5
"242" 6 2 4
"243" 6 3 3
"244" 6 4 2
"245" 6 5 1
"246" 6 7 1
"247" 6 8 5.09902
"248" 6 9 4.123106
"249" 6 10 3.162278
"250" 6 11 2.236068
"251" 6 12 1.414214
"252" 6 13 1
"253" 6 14 1.414214
"254" 6 15 5.385165
"255" 6 16 4.472136
"256" 6 17 3.605551
"257" 6 18 2.828427
"258" 6 19 2.236068
"259" 6 20 2
"260" 6 21 2.236068
"261" 6 22 5.830952
"262" 6 23 5
"263" 6 24 4.242641
"264" 6 25 3.605551
"265" 6 26 3.162278
"266" 6 27 3
"267" 6 28 3.162278
"268" 6 29 6.403124
"269" 6 30 5.656854
"270" 6 31 5
"271" 6 32 4.472136
"272" 6 33 4.123106
"273" 6 34 4
"274" 6 35 4.123106
"275" 6 36 7.071068
"276" 6 37 6.403124
"277" 6 38 5.830952
"278" 6 39 5.385165
"279" 6 40 5.09902
"280" 6 41 5
"281" 6 42 5.09902
"282" 6 43 7.81025
"283" 6 44 7.211103
"284" 6 45 6.708204
"285" 6 46 6.324555
"286" 6 47 6.082763
"287" 6 48 6
"288" 6 49 6.082763
"289" 7 1 6
"290" 7 2 5
"291" 7 3 4
"292" 7 4 3
"293" 7 5 2
"294" 7 6 1
"295" 7 8 6.082763
"296" 7 9 5.09902
"297" 7 10 4.123106
"298" 7 11 3.162278
"299" 7 12 2.236068
"300" 7 13 1.414214
"301" 7 14 1
"302" 7 15 6.324555
"303" 7 16 5.385165
"304" 7 17 4.472136
"305" 7 18 3.605551
"306" 7 19 2.828427
"307" 7 20 2.236068
"308" 7 21 2
"309" 7 22 6.708204
"310" 7 23 5.830952
"311" 7 24 5
"312" 7 25 4.242641
"313" 7 26 3.605551
"314" 7 27 3.162278
"315" 7 28 3
"316" 7 29 7.211103
"317" 7 30 6.403124
"318" 7 31 5.656854
"319" 7 32 5
"320" 7 33 4.472136
"321" 7 34 4.123106
"322" 7 35 4
"323" 7 36 7.81025
"324" 7 37 7.071068
"325" 7 38 6.403124
"326" 7 39 5.830952
"327" 7 40 5.385165
"328" 7 41 5.09902
"329" 7 42 5
"330" 7 43 8.485281
"331" 7 44 7.81025
"332" 7 45 7.211103
"333" 7 46 6.708204
"334" 7 47 6.324555
"335" 7 48 6.082763
"336" 7 49 6
"337" 8 1 1
"338" 8 2 1.414214
"339" 8 3 2.236068
"340" 8 4 3.162278
"341" 8 5 4.123106
"342" 8 6 5.09902
"343" 8 7 6.082763
"344" 8 9 1
"345" 8 10 2
"346" 8 11 3
"347" 8 12 4
"348" 8 13 5
"349" 8 14 6
"350" 8 15 1
"351" 8 16 1.414214
"352" 8 17 2.236068
"353" 8 18 3.162278
"354" 8 19 4.123106
"355" 8 20 5.09902
"356" 8 21 6.082763
"357" 8 22 2
"358" 8 23 2.236068
"359" 8 24 2.828427
"360" 8 25 3.605551
"361" 8 26 4.472136
"362" 8 27 5.385165
"363" 8 28 6.324555
"364" 8 29 3
"365" 8 30 3.162278
"366" 8 31 3.605551
"367" 8 32 4.242641
"368" 8 33 5
"369" 8 34 5.830952
"370" 8 35 6.708204
"371" 8 36 4
"372" 8 37 4.123106
"373" 8 38 4.472136
"374" 8 39 5
"375" 8 40 5.656854
"376" 8 41 6.403124
"377" 8 42 7.211103
"378" 8 43 5
"379" 8 44 5.09902
"380" 8 45 5.385165
"381" 8 46 5.830952
"382" 8 47 6.403124
"383" 8 48 7.071068
"384" 8 49 7.81025
"385" 9 1 1.414214
"386" 9 2 1
"387" 9 3 1.414214
"388" 9 4 2.236068
"389" 9 5 3.162278
"390" 9 6 4.123106
"391" 9 7 5.09902
"392" 9 8 1
"393" 9 10 1
"394" 9 11 2
"395" 9 12 3
"396" 9 13 4
"397" 9 14 5
"398" 9 15 1.414214
"399" 9 16 1
"400" 9 17 1.414214
"401" 9 18 2.236068
"402" 9 19 3.162278
"403" 9 20 4.123106
"404" 9 21 5.09902
"405" 9 22 2.236068
"406" 9 23 2
"407" 9 24 2.236068
"408" 9 25 2.828427
"409" 9 26 3.605551
"410" 9 27 4.472136
"411" 9 28 5.385165
"412" 9 29 3.162278
"413" 9 30 3
"414" 9 31 3.162278
"415" 9 32 3.605551
"416" 9 33 4.242641
"417" 9 34 5
"418" 9 35 5.830952
"419" 9 36 4.123106
"420" 9 37 4
"421" 9 38 4.123106
"422" 9 39 4.472136
"423" 9 40 5
"424" 9 41 5.656854
"425" 9 42 6.403124
"426" 9 43 5.09902
"427" 9 44 5
"428" 9 45 5.09902
"429" 9 46 5.385165
"430" 9 47 5.830952
"431" 9 48 6.403124
"432" 9 49 7.071068
"433" 10 1 2.236068
"434" 10 2 1.414214
"435" 10 3 1
"436" 10 4 1.414214
"437" 10 5 2.236068
"438" 10 6 3.162278
"439" 10 7 4.123106
"440" 10 8 2
"441" 10 9 1
"442" 10 11 1
"443" 10 12 2
"444" 10 13 3
"445" 10 14 4
"446" 10 15 2.236068
"447" 10 16 1.414214
"448" 10 17 1
"449" 10 18 1.414214
"450" 10 19 2.236068
"451" 10 20 3.162278
"452" 10 21 4.123106
"453" 10 22 2.828427
"454" 10 23 2.236068
"455" 10 24 2
"456" 10 25 2.236068
"457" 10 26 2.828427
"458" 10 27 3.605551
"459" 10 28 4.472136
"460" 10 29 3.605551
"461" 10 30 3.162278
"462" 10 31 3
"463" 10 32 3.162278
"464" 10 33 3.605551
"465" 10 34 4.242641
"466" 10 35 5
"467" 10 36 4.472136
"468" 10 37 4.123106
"469" 10 38 4
"470" 10 39 4.123106
"471" 10 40 4.472136
"472" 10 41 5
"473" 10 42 5.656854
"474" 10 43 5.385165
"475" 10 44 5.09902
"476" 10 45 5
"477" 10 46 5.09902
"478" 10 47 5.385165
"479" 10 48 5.830952
"480" 10 49 6.403124
"481" 11 1 3.162278
"482" 11 2 2.236068
"483" 11 3 1.414214
"484" 11 4 1
"485" 11 5 1.414214
"486" 11 6 2.236068
"487" 11 7 3.162278
"488" 11 8 3
"489" 11 9 2
"490" 11 10 1
"491" 11 12 1
"492" 11 13 2
"493" 11 14 3
"494" 11 15 3.162278
"495" 11 16 2.236068
"496" 11 17 1.414214
"497" 11 18 1
"498" 11 19 1.414214
"499" 11 20 2.236068
"500" 11 21 3.162278
"501" 11 22 3.605551
"502" 11 23 2.828427
"503" 11 24 2.236068
"504" 11 25 2
"505" 11 26 2.236068
"506" 11 27 2.828427
"507" 11 28 3.605551
"508" 11 29 4.242641
"509" 11 30 3.605551
"510" 11 31 3.162278
"511" 11 32 3
"512" 11 33 3.162278
"513" 11 34 3.605551
"514" 11 35 4.242641
"515" 11 36 5
"516" 11 37 4.472136
"517" 11 38 4.123106
"518" 11 39 4
"519" 11 40 4.123106
"520" 11 41 4.472136
"521" 11 42 5
"522" 11 43 5.830952
"523" 11 44 5.385165
"524" 11 45 5.09902
"525" 11 46 5
"526" 11 47 5.09902
"527" 11 48 5.385165
"528" 11 49 5.830952
"529" 12 1 4.123106
"530" 12 2 3.162278
"531" 12 3 2.236068
"532" 12 4 1.414214
"533" 12 5 1
"534" 12 6 1.414214
"535" 12 7 2.236068
"536" 12 8 4
"537" 12 9 3
"538" 12 10 2
"539" 12 11 1
"540" 12 13 1
"541" 12 14 2
"542" 12 15 4.123106
"543" 12 16 3.162278
"544" 12 17 2.236068
"545" 12 18 1.414214
"546" 12 19 1
"547" 12 20 1.414214
"548" 12 21 2.236068
"549" 12 22 4.472136
"550" 12 23 3.605551
"551" 12 24 2.828427
"552" 12 25 2.236068
"553" 12 26 2
"554" 12 27 2.236068
"555" 12 28 2.828427
"556" 12 29 5
"557" 12 30 4.242641
"558" 12 31 3.605551
"559" 12 32 3.162278
"560" 12 33 3
"561" 12 34 3.162278
"562" 12 35 3.605551
"563" 12 36 5.656854
"564" 12 37 5
"565" 12 38 4.472136
"566" 12 39 4.123106
"567" 12 40 4
"568" 12 41 4.123106
"569" 12 42 4.472136
"570" 12 43 6.403124
"571" 12 44 5.830952
"572" 12 45 5.385165
"573" 12 46 5.09902
"574" 12 47 5
"575" 12 48 5.09902
"576" 12 49 5.385165
"577" 13 1 5.09902
"578" 13 2 4.123106
"579" 13 3 3.162278
"580" 13 4 2.236068
"581" 13 5 1.414214
"582" 13 6 1
"583" 13 7 1.414214
"584" 13 8 5
"585" 13 9 4
"586" 13 10 3
"587" 13 11 2
"588" 13 12 1
"589" 13 14 1
"590" 13 15 5.09902
"591" 13 16 4.123106
"592" 13 17 3.162278
"593" 13 18 2.236068
"594" 13 19 1.414214
"595" 13 21 1.414214
"596" 13 22 5.385165
"597" 13 23 4.472136
"598" 13 24 3.605551
"599" 13 25 2.828427
"600" 13 26 2.236068
"601" 13 27 2
"602" 13 28 2.236068
"603" 13 29 5.830952
"604" 13 30 5
"605" 13 31 4.242641
"606" 13 32 3.605551
"607" 13 33 3.162278
"608" 13 34 3
"609" 13 35 3.162278
"610" 13 36 6.403124
"611" 13 37 5.656854
"612" 13 38 5
"613" 13 39 4.472136
"614" 13 40 4.123106
"615" 13 41 4
"616" 13 42 4.123106
"617" 13 44 6.403124
"618" 13 45 5.830952
"619" 13 46 5.385165
"620" 13 47 5.09902
"621" 13 48 5
"622" 13 49 5.09902
"623" 14 1 6.082763
"624" 14 2 5.09902
"625" 14 3 4.123106
"626" 14 4 3.162278
"627" 14 5 2.236068
"628" 14 6 1.414214
"629" 14 7 1
"630" 14 8 6
"631" 14 9 5
"632" 14 10 4
"633" 14 11 3
"634" 14 12 2
"635" 14 13 1
"636" 14 15 6.082763
"637" 14 16 5.09902
"638" 14 17 4.123106
"639" 14 18 3.162278
"640" 14 19 2.236068
"641" 14 20 1.414214
"642" 14 21 1
"643" 14 22 6.324555
"644" 14 23 5.385165
"645" 14 24 4.472136
"646" 14 25 3.605551
"647" 14 26 2.828427
"648" 14 27 2.236068
"649" 14 28 2
"650" 14 29 6.708204
"651" 14 30 5.830952
"652" 14 31 5
"653" 14 32 4.242641
"654" 14 33 3.605551
"655" 14 34 3.162278
"656" 14 35 3
"657" 14 36 7.211103
"658" 14 37 6.403124
"659" 14 38 5.656854
"660" 14 39 5
"661" 14 40 4.472136
"662" 14 41 4.123106
"663" 14 42 4
"664" 14 43 7.81025
"665" 14 44 7.071068
"666" 14 45 6.403124
"667" 14 46 5.830952
"668" 14 47 5.385165
"669" 14 48 5.09902
"670" 14 49 5
"671" 15 1 2
"672" 15 2 2.236068
"673" 15 3 2.828427
"674" 15 4 3.605551
"675" 15 5 4.472136
"676" 15 6 5.385165
"677" 15 7 6.324555
"678" 15 8 1
"679" 15 9 1.414214
"680" 15 10 2.236068
"681" 15 11 3.162278
"682" 15 12 4.123106
"683" 15 13 5.09902
"684" 15 14 6.082763
"685" 15 16 1
"686" 15 17 2
"687" 15 18 3
"688" 15 19 4
"689" 15 20 5
"690" 15 21 6
"691" 15 22 1
"692" 15 23 1.414214
"693" 15 24 2.236068
"694" 15 25 3.162278
"695" 15 26 4.123106
"696" 15 27 5.09902
"697" 15 28 6.082763
"698" 15 29 2
"699" 15 30 2.236068
"700" 15 31 2.828427
"701" 15 32 3.605551
"702" 15 33 4.472136
"703" 15 34 5.385165
"704" 15 35 6.324555
"705" 15 36 3
"706" 15 37 3.162278
"707" 15 38 3.605551
"708" 15 39 4.242641
"709" 15 40 5
"710" 15 41 5.830952
"711" 15 42 6.708204
"712" 15 43 4
"713" 15 44 4.123106
"714" 15 45 4.472136
"715" 15 46 5
"716" 15 47 5.656854
"717" 15 48 6.403124
"718" 15 49 7.211103
"719" 16 1 2.236068
"720" 16 2 2
"721" 16 3 2.236068
"722" 16 4 2.828427
"723" 16 5 3.605551
"724" 16 6 4.472136
"725" 16 7 5.385165
"726" 16 8 1.414214
"727" 16 9 1
"728" 16 10 1.414214
"729" 16 11 2.236068
"730" 16 12 3.162278
"731" 16 13 4.123106
"732" 16 14 5.09902
"733" 16 15 1
"734" 16 17 1
"735" 16 18 2
"736" 16 19 3
"737" 16 20 4
"738" 16 21 5
"739" 16 22 1.414214
"740" 16 23 1
"741" 16 24 1.414214
"742" 16 25 2.236068
"743" 16 26 3.162278
"744" 16 27 4.123106
"745" 16 28 5.09902
"746" 16 29 2.236068
"747" 16 30 2
"748" 16 31 2.236068
"749" 16 32 2.828427
"750" 16 33 3.605551
"751" 16 34 4.472136
"752" 16 35 5.385165
"753" 16 36 3.162278
"754" 16 37 3
"755" 16 38 3.162278
"756" 16 39 3.605551
"757" 16 40 4.242641
"758" 16 41 5
"759" 16 42 5.830952
"760" 16 43 4.123106
"761" 16 44 4
"762" 16 45 4.123106
"763" 16 46 4.472136
"764" 16 47 5
"765" 16 48 5.656854
"766" 16 49 6.403124
"767" 17 1 2.828427
"768" 17 2 2.236068
"769" 17 3 2
"770" 17 4 2.236068
"771" 17 5 2.828427
"772" 17 6 3.605551
"773" 17 7 4.472136
"774" 17 8 2.236068
"775" 17 9 1.414214
"776" 17 10 1
"777" 17 11 1.414214
"778" 17 12 2.236068
"779" 17 13 3.162278
"780" 17 14 4.123106
"781" 17 15 2
"782" 17 16 1
"783" 17 18 1
"784" 17 19 2
"785" 17 20 3
"786" 17 21 4
"787" 17 22 2.236068
"788" 17 23 1.414214
"789" 17 24 1
"790" 17 25 1.414214
"791" 17 26 2.236068
"792" 17 27 3.162278
"793" 17 28 4.123106
"794" 17 29 2.828427
"795" 17 30 2.236068
"796" 17 31 2
"797" 17 32 2.236068
"798" 17 33 2.828427
"799" 17 34 3.605551
"800" 17 35 4.472136
"801" 17 36 3.605551
"802" 17 37 3.162278
"803" 17 38 3
"804" 17 39 3.162278
"805" 17 40 3.605551
"806" 17 41 4.242641
"807" 17 42 5
"808" 17 43 4.472136
"809" 17 44 4.123106
"810" 17 45 4
"811" 17 46 4.123106
"812" 17 47 4.472136
"813" 17 48 5
"814" 17 49 5.656854
"815" 18 1 3.605551
"816" 18 2 2.828427
"817" 18 3 2.236068
"818" 18 4 2
"819" 18 5 2.236068
"820" 18 6 2.828427
"821" 18 7 3.605551
"822" 18 8 3.162278
"823" 18 9 2.236068
"824" 18 10 1.414214
"825" 18 11 1
"826" 18 12 1.414214
"827" 18 13 2.236068
"828" 18 14 3.162278
"829" 18 15 3
"830" 18 16 2
"831" 18 17 1
"832" 18 19 1
"833" 18 20 2
"834" 18 21 3
"835" 18 22 3.162278
"836" 18 23 2.236068
"837" 18 24 1.414214
"838" 18 25 1
"839" 18 26 1.414214
"840" 18 27 2.236068
"841" 18 28 3.162278
"842" 18 29 3.605551
"843" 18 30 2.828427
"844" 18 31 2.236068
"845" 18 32 2
"846" 18 33 2.236068
"847" 18 34 2.828427
"848" 18 35 3.605551
"849" 18 36 4.242641
"850" 18 37 3.605551
"851" 18 38 3.162278
"852" 18 39 3
"853" 18 40 3.162278
"854" 18 41 3.605551
"855" 18 42 4.242641
"856" 18 43 5
"857" 18 44 4.472136
"858" 18 45 4.123106
"859" 18 46 4
"860" 18 47 4.123106
"861" 18 48 4.472136
"862" 18 49 5
"863" 19 1 4.472136
"864" 19 2 3.605551
"865" 19 3 2.828427
"866" 19 4 2.236068
"867" 19 5 2
"868" 19 6 2.236068
"869" 19 7 2.828427
"870" 19 8 4.123106
"871" 19 9 3.162278
"872" 19 10 2.236068
"873" 19 11 1.414214
"874" 19 12 1
"875" 19 13 1.414214
"876" 19 14 2.236068
"877" 19 15 4
"878" 19 16 3
"879" 19 17 2
"880" 19 18 1
"881" 19 20 1
"882" 19 21 2
"883" 19 22 4.123106
"884" 19 23 3.162278
"885" 19 24 2.236068
"886" 19 25 1.414214
"887" 19 26 1
"888" 19 27 1.414214
"889" 19 28 2.236068
"890" 19 29 4.472136
"891" 19 30 3.605551
"892" 19 31 2.828427
"893" 19 32 2.236068
"894" 19 33 2
"895" 19 34 2.236068
"896" 19 35 2.828427
"897" 19 36 5
"898" 19 37 4.242641
"899" 19 38 3.605551
"900" 19 39 3.162278
"901" 19 40 3
"902" 19 41 3.162278
"903" 19 42 3.605551
"904" 19 43 5.656854
"905" 19 44 5
"906" 19 45 4.472136
"907" 19 46 4.123106
"908" 19 47 4
"909" 19 48 4.123106
"910" 19 49 4.472136
"911" 20 1 5.385165
"912" 20 2 4.472136
"913" 20 3 3.605551
"914" 20 4 2.828427
"915" 20 5 2.236068
"916" 20 6 2
"917" 20 7 2.236068
"918" 20 8 5.09902
"919" 20 9 4.123106
"920" 20 10 3.162278
"921" 20 11 2.236068
"922" 20 12 1.414214
"923" 20 14 1.414214
"924" 20 15 5
"925" 20 16 4
"926" 20 17 3
"927" 20 18 2
"928" 20 19 1
"929" 20 21 1
"930" 20 22 5.09902
"931" 20 23 4.123106
"932" 20 24 3.162278
"933" 20 25 2.236068
"934" 20 26 1.414214
"935" 20 27 1
"936" 20 28 1.414214
"937" 20 29 5.385165
"938" 20 30 4.472136
"939" 20 31 3.605551
"940" 20 32 2.828427
"941" 20 33 2.236068
"942" 20 34 2
"943" 20 35 2.236068
"944" 20 36 5.830952
"945" 20 37 5
"946" 20 38 4.242641
"947" 20 39 3.605551
"948" 20 40 3.162278
"949" 20 41 3
"950" 20 42 3.162278
"951" 20 44 5.656854
"952" 20 45 5
"953" 20 46 4.472136
"954" 20 47 4.123106
"955" 20 48 4
"956" 20 49 4.123106
"957" 21 1 6.324555
"958" 21 2 5.385165
"959" 21 3 4.472136
"960" 21 4 3.605551
"961" 21 5 2.828427
"962" 21 6 2.236068
"963" 21 7 2
"964" 21 8 6.082763
"965" 21 9 5.09902
"966" 21 10 4.123106
"967" 21 11 3.162278
"968" 21 12 2.236068
"969" 21 13 1.414214
"970" 21 14 1
"971" 21 15 6
"972" 21 16 5
"973" 21 17 4
"974" 21 18 3
"975" 21 19 2
"976" 21 20 1
"977" 21 22 6.082763
"978" 21 23 5.09902
"979" 21 24 4.123106
"980" 21 25 3.162278
"981" 21 26 2.236068
"982" 21 27 1.414214
"983" 21 28 1
"984" 21 29 6.324555
"985" 21 30 5.385165
"986" 21 31 4.472136
"987" 21 32 3.605551
"988" 21 33 2.828427
"989" 21 34 2.236068
"990" 21 35 2
"991" 21 36 6.708204
"992" 21 37 5.830952
"993" 21 38 5
"994" 21 39 4.242641
"995" 21 40 3.605551
"996" 21 41 3.162278
"997" 21 42 3
"998" 21 43 7.211103
"999" 21 44 6.403124
"1000" 21 45 5.656854
"1001" 21 46 5
"1002" 21 47 4.472136
"1003" 21 48 4.123106
"1004" 21 49 4
"1005" 22 1 3
"1006" 22 2 3.162278
"1007" 22 3 3.605551
"1008" 22 4 4.242641
"1009" 22 5 5
"1010" 22 6 5.830952
"1011" 22 7 6.708204
"1012" 22 8 2
"1013" 22 9 2.236068
"1014" 22 10 2.828427
"1015" 22 11 3.605551
"1016" 22 12 4.472136
"1017" 22 13 5.385165
"1018" 22 14 6.324555
"1019" 22 15 1
"1020" 22 16 1.414214
"1021" 22 17 2.236068
"1022" 22 18 3.162278
"1023" 22 19 4.123106
"1024" 22 20 5.09902
"1025" 22 21 6.082763
"1026" 22 23 1
"1027" 22 24 2
"1028" 22 25 3
"1029" 22 26 4
"1030" 22 27 5
"1031" 22 28 6
"1032" 22 29 1
"1033" 22 30 1.414214
"1034" 22 31 2.236068
"1035" 22 32 3.162278
"1036" 22 33 4.123106
"1037" 22 34 5.09902
"1038" 22 35 6.082763
"1039" 22 36 2
"1040" 22 37 2.236068
"1041" 22 38 2.828427
"1042" 22 39 3.605551
"1043" 22 40 4.472136
"1044" 22 41 5.385165
"1045" 22 42 6.324555
"1046" 22 43 3
"1047" 22 44 3.162278
"1048" 22 45 3.605551
"1049" 22 46 4.242641
"1050" 22 47 5
"1051" 22 48 5.830952
"1052" 22 49 6.708204
"1053" 23 1 3.162278
"1054" 23 2 3
"1055" 23 3 3.162278
"1056" 23 4 3.605551
"1057" 23 5 4.242641
"1058" 23 6 5
"1059" 23 7 5.830952
"1060" 23 8 2.236068
"1061" 23 9 2
"1062" 23 10 2.236068
"1063" 23 11 2.828427
"1064" 23 12 3.605551
"1065" 23 13 4.472136
"1066" 23 14 5.385165
"1067" 23 15 1.414214
"1068" 23 16 1
"1069" 23 17 1.414214
"1070" 23 18 2.236068
"1071" 23 19 3.162278
"1072" 23 20 4.123106
"1073" 23 21 5.09902
"1074" 23 22 1
"1075" 23 24 1
"1076" 23 25 2
"1077" 23 26 3
"1078" 23 27 4
"1079" 23 28 5
"1080" 23 29 1.414214
"1081" 23 30 1
"1082" 23 31 1.414214
"1083" 23 32 2.236068
"1084" 23 33 3.162278
"1085" 23 34 4.123106
"1086" 23 35 5.09902
"1087" 23 36 2.236068
"1088" 23 37 2
"1089" 23 38 2.236068
"1090" 23 39 2.828427
"1091" 23 40 3.605551
"1092" 23 41 4.472136
"1093" 23 42 5.385165
"1094" 23 43 3.162278
"1095" 23 44 3
"1096" 23 45 3.162278
"1097" 23 46 3.605551
"1098" 23 47 4.242641
"1099" 23 48 5
"1100" 23 49 5.830952
"1101" 24 1 3.605551
"1102" 24 2 3.162278
"1103" 24 3 3
"1104" 24 4 3.162278
"1105" 24 5 3.605551
"1106" 24 6 4.242641
"1107" 24 7 5
"1108" 24 8 2.828427
"1109" 24 9 2.236068
"1110" 24 10 2
"1111" 24 11 2.236068
"1112" 24 12 2.828427
"1113" 24 13 3.605551
"1114" 24 14 4.472136
"1115" 24 15 2.236068
"1116" 24 16 1.414214
"1117" 24 17 1
"1118" 24 18 1.414214
"1119" 24 19 2.236068
"1120" 24 20 3.162278
"1121" 24 21 4.123106
"1122" 24 22 2
"1123" 24 23 1
"1124" 24 25 1
"1125" 24 26 2
"1126" 24 27 3
"1127" 24 28 4
"1128" 24 29 2.236068
"1129" 24 30 1.414214
"1130" 24 31 1
"1131" 24 32 1.414214
"1132" 24 33 2.236068
"1133" 24 34 3.162278
"1134" 24 35 4.123106
"1135" 24 36 2.828427
"1136" 24 37 2.236068
"1137" 24 38 2
"1138" 24 39 2.236068
"1139" 24 40 2.828427
"1140" 24 41 3.605551
